"","period","nsampled","treatment","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
"205","205","8","control","0","23","4","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"206","206","8","control","0","24","2","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0"
"207","207","8","control","0","20","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"208","208","8","control","0","27","1","0","1","2","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"209","209","8","control","0","26","0","0","0","1","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0"
"210","210","8","control","0","29","2","0","0","0","1","0","0","3","0","1","0","0","18","0","0","0","0","0","0"
"211","211","8","control","0","25","0","0","0","4","2","0","0","3","0","0","0","0","24","0","0","0","0","0","0"
"212","212","8","control","0","26","2","0","1","1","3","0","0","11","0","0","0","0","26","0","0","0","0","0","0"
"213","213","8","control","0","33","0","0","2","0","3","0","0","12","0","0","0","0","18","0","1","0","0","0","0"
"214","214","8","control","0","35","3","0","2","1","2","0","0","9","0","0","0","0","2","0","1","0","0","0","0"
"215","215","8","control","0","33","0","0","1","0","6","0","0","6","0","0","0","1","1","0","2","0","0","0","0"
"216","216","8","control","0","40","8","0","0","1","0","1","2","5","0","0","0","0","0","0","1","0","0","0","0"
"217","217","8","control","0","42","8","0","0","0","0","0","4","9","0","0","0","2","2","0","2","0","0","0","0"
"218","218","8","control","0","25","5","0","0","1","2","0","5","4","0","0","0","3","8","0","4","0","0","0","0"
"219","219","8","control","0","38","12","0","0","1","1","0","3","15","0","0","0","2","13","0","9","0","0","0","0"
"220","220","8","control","0","31","3","0","1","0","0","0","2","7","0","0","0","0","5","0","0","0","0","0","0"
"221","221","8","control","0","25","9","0","0","1","1","1","1","9","0","0","0","3","10","0","0","0","0","0","0"
"222","222","8","control","0","17","6","0","0","0","3","1","0","9","0","0","0","0","8","0","0","0","0","0","0"
